,tweet_id,timestamp,source,expanded_urls,text,retweet_count,favorite_count,stage,rating,breed,names,day_of_week
0,892420643555336193,2017-08-01 16:23:56+00:00,iPhone,https://twitter.com/dog_rates/status/892420643555336193/photo/1,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,8189,37553,,13.0,,Phineas,1
1,892177421306343426,2017-08-01 00:17:27+00:00,iPhone,https://twitter.com/dog_rates/status/892177421306343426/photo/1,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",6058,32279,,13.0,Chihuahua,Tilly,1
2,891815181378084864,2017-07-31 00:18:03+00:00,iPhone,https://twitter.com/dog_rates/status/891815181378084864/photo/1,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,4008,24316,,12.0,Chihuahua,Archie,0
3,891689557279858688,2017-07-30 15:58:51+00:00,iPhone,https://twitter.com/dog_rates/status/891689557279858688/photo/1,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,8345,40902,,13.0,Labrador_retriever,Darla,6
4,891327558926688256,2017-07-29 16:00:24+00:00,iPhone,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",9038,39096,,12.0,basset,Franklin,5
5,891087950875897856,2017-07-29 00:08:17+00:00,iPhone,https://twitter.com/dog_rates/status/891087950875897856/photo/1,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,3002,19664,,13.0,Chesapeake_Bay_retriever,None,5
6,890971913173991426,2017-07-28 16:27:12+00:00,iPhone,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",1985,11490,,13.0,Appenzeller,Jax,4
7,890729181411237888,2017-07-28 00:22:40+00:00,iPhone,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,18194,63356,,13.0,Pomeranian,None,4
8,890609185150312448,2017-07-27 16:25:51+00:00,iPhone,https://twitter.com/dog_rates/status/890609185150312448/photo/1,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,4120,27029,,13.0,Irish_terrier,Zoey,3
9,890240255349198849,2017-07-26 15:59:51+00:00,iPhone,https://twitter.com/dog_rates/status/890240255349198849/photo/1,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,7112,30975,doggo,14.0,Pembroke,Cassie,2
10,890006608113172480,2017-07-26 00:31:25+00:00,iPhone,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,7073,29782,,13.0,Samoyed,Koda,2
11,889880896479866881,2017-07-25 16:11:53+00:00,iPhone,https://twitter.com/dog_rates/status/889880896479866881/photo/1,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,4804,27013,,13.0,French_bulldog,Bruno,1
12,889665388333682689,2017-07-25 01:55:32+00:00,iPhone,https://twitter.com/dog_rates/status/889665388333682689/photo/1,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,9680,46692,puppo,13.0,Pembroke,None,1
13,889638837579907072,2017-07-25 00:10:02+00:00,iPhone,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,4374,26311,,12.0,French_bulldog,Ted,1
14,889531135344209921,2017-07-24 17:02:04+00:00,iPhone,https://twitter.com/dog_rates/status/889531135344209921/photo/1,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,2172,14678,puppo,13.0,golden_retriever,Stuart,0
15,889278841981685760,2017-07-24 00:19:32+00:00,iPhone,https://twitter.com/dog_rates/status/889278841981685760/video/1,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,5192,24516,,13.0,whippet,Oliver,0
16,888917238123831296,2017-07-23 00:22:39+00:00,iPhone,https://twitter.com/dog_rates/status/888917238123831296/photo/1,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,4346,28283,,12.0,golden_retriever,Jim,6
17,888804989199671297,2017-07-22 16:56:37+00:00,iPhone,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,4132,24813,,13.0,golden_retriever,Zeke,5
18,888554962724278272,2017-07-22 00:23:06+00:00,iPhone,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,3409,19249,,13.0,Siberian_husky,Ralphus,5
19,888078434458587136,2017-07-20 16:49:33+00:00,iPhone,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,3361,21129,,12.0,French_bulldog,Gerald,3
20,887705289381826560,2017-07-19 16:06:48+00:00,iPhone,https://twitter.com/dog_rates/status/887705289381826560/photo/1,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,5187,29332,,13.0,basset,Jeffrey,2
21,887517139158093824,2017-07-19 03:39:09+00:00,iPhone,https://twitter.com/dog_rates/status/887517139158093824/video/1,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,11285,44955,,14.0,,None,2
22,887473957103951883,2017-07-19 00:47:34+00:00,iPhone,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,17514,66926,,13.0,Pembroke,Canela,2
23,887343217045368832,2017-07-18 16:08:03+00:00,iPhone,https://twitter.com/dog_rates/status/887343217045368832/video/1,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,10059,32694,,13.0,Mexican_hairless,None,1
24,887101392804085760,2017-07-18 00:07:08+00:00,iPhone,https://twitter.com/dog_rates/status/887101392804085760/photo/1,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,5750,29681,,12.0,Samoyed,None,1
25,886983233522544640,2017-07-17 16:17:36+00:00,iPhone,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,7486,34103,,13.0,Chihuahua,Maya,0
